,business_id,name,address,postal_code,latitude,longitude,stars,review_count,is_open,categories,wifi,parking,creditcard,reserve,groups,attributes.RestaurantsPriceRange2,alcohol,takeout,attire,delivery
405,BICRl8FOudjjloh1kc9Glw,Wendy's,4051 Millenia Blvd,32839,28.4913358,-81.4287783,4.0,25,1,"Restaurants, Burgers, Fast Food",'free',"{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
436,xqxRL30UDtEP3v1E_x-SlA,Froggers Grill & Bar Southwest,6700 Conroy Windermere Rd,32835,28.4930274,-81.4735774,3.5,7,0,"Restaurants, American (Traditional)",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,2.0,u'full_bar',,,
497,ynM2sHgvOG4DBJNDf1GKUQ,Publix Super Markets,3400 Avalon Park East Blvd,32828,28.5142749,-81.1543345,3.5,35,1,"Drugstores, Delis, Restaurants, Shopping, Grocery, Food",'free',"{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,,True,'casual',False
532,DtOUYfEGFJ8y7YC5VnM9UA,The Clubhouse,100 E Pine St,32801,28.5412869,-81.3768161,4.0,7,0,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife",,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,'full_bar',True,u'casual',True
703,zQRbAOceJyC7xVBBRny2HQ,Bites & Bubbles,912 N Mills Ave,32803,28.5572082,-81.36474,4.5,105,1,"Wine Bars, Restaurants, Bars, Nightlife, Specialty Food, Desserts, Food, Tapas Bars",u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,False,2.0,'beer_and_wine',True,,True
739,Wo7xNKWlq3i5q20VkBb6IQ,Mejana Mediterranean,"12001 Avalon Lake Dr, Ste A",32828,28.5105029935,-81.1561918371,4.5,69,1,"Restaurants, Mediterranean",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,,,,True,,True
763,rIdojqgqK1IcxYAyJhsLLg,Muse 24h Caffee,14100 Bonnet Creek Resort Ln,32821,28.355841,-81.534603,4.0,5,1,"Restaurants, Cafes",u'free',,,,,,,,,
862,ha4EZP8LSROUcrZhQWeXQQ,Aroma Italian Café & Wine Bar,712 E Washington St,32801,28.543402,-81.367959,4.0,25,0,"Coffee & Tea, Food, Bars, Nightlife, Italian, Arts & Entertainment, Restaurants, Music Venues, Wine Bars",u'no',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',False
873,ob2Bplta28zhLbLPoaSL3Q,Ponderosa Steakhouse,8510 International Dr,32819,28.4414897,-81.4712016,3.0,38,0,"Buffets, Restaurants, American (New), Steakhouses",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',False,'casual',False
966,LMBo7Dv-5jSTrUgiDkjE9Q,Crispers,557 N Alafaya Trail,32828,28.5553662396,-81.2026464148,4.0,86,0,"Restaurants, Salad, Sandwiches, Soup",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
1003,SrykgwUBIaqNwqvu7JKMqQ,House of Pizza,"14650 Gatorland Dr, Ste 1",32837,28.3533325,-81.4051029,3.5,47,0,"Pizza, Italian, Salad, Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
1005,SALa3MhzFBKVGkzphbYrqQ,Sharon's Place,4905 S Orange Ave,32806,28.4912556,-81.3731596,4.0,16,0,"Restaurants, Breakfast & Brunch, Sandwiches, American (Traditional), Diners",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,u'none',True,'casual',False
1008,3JrdnGYWUzUzepplmi7HlA,Sweet Mama's Restaurant,"10743 Narcoossee Rd, Ste A3",32832,28.411547,-81.240481,4.0,341,1,"American (New), Diners, American (Traditional), Breakfast & Brunch, Restaurants, Comfort Food, Desserts, Food, Burgers",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',True
1044,Mw9Locfp_Qc_T_QDyLR3cQ,Roque Pub,3076 Curry Ford Rd,32806,28.5234748,-81.3440402,4.5,143,1,"Restaurants, American (New), Sandwiches, Bars, Food, Nightlife, Event Planning & Services, Beer, Wine & Spirits, Venues & Event Spaces, Pubs",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,'casual',True
1106,d3uHwiajWXVApH65sGKRiw,Chinatown,4200 Conroy Rd,32839,28.485254,-81.432187,2.5,14,1,"Chinese, Restaurants",u'no',,True,False,True,1.0,,True,'casual',False
1122,DM_Ge3Feh-4xnIrHIDg4uw,The Bistro Restaurant and Bar,730 N Magnolia Ave,32803,28.5542126431,-81.3775464778,4.5,7,1,"Food, American (New), Internet Cafes, Bars, Restaurants, Nightlife, Breakfast & Brunch, Coffee & Tea, Cocktail Bars",u'free',,True,False,,,u'full_bar',True,,False
1142,08xNWFnK7VoMjjQSEqd2Qw,Ming Dragon Express,6139 Westwood Blvd,32821,28.420153,-81.461639,4.0,66,1,"Japanese, Sushi Bars, Chinese, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,'none',True,u'casual',True
1194,7rn7i2hdfiGX1lWobZJXBQ,Red Lobster,12557 State Road 535,32836,28.381024,-81.502994,3.5,95,1,"Seafood, Restaurants, American (Traditional)",u'free',"{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': True}",True,True,True,2.0,u'full_bar',True,u'casual',True
1283,3SUhbtzb49gJX9jvitGSFQ,Starring Rolls Cafe,"351 S Studio Dr, 351 S Studio Dr",32830,28.3577687922,-81.5600863022,3.5,47,0,"Sandwiches, Cafes, Restaurants",'free',,True,False,True,2.0,u'none',True,u'casual',False
1295,mLSsh3ufAvCsZjY9KoAbdQ,Maddey's Craft & Cru,116 W Church St,32801,28.5400531637,-81.3811068982,4.5,19,0,"Restaurants, American (New), Pizza",,,True,True,True,3.0,,False,u'casual',False
1340,1eyv_Nm2KHOmGGb7je21Ug,Fuzzy's Taco Shop,12241 East Colonial Dr,32826,28.5665610177,-81.1952380621,3.5,170,1,"Sandwiches, Restaurants, Tex-Mex, Breakfast & Brunch, Mexican",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'full_bar',True,'casual',False
1345,QdzRS1s0tSltIokm2xV-kA,Border Grill Fresh-Mex,5695-A Vineland Rd,32819,28.483564,-81.456769,4.5,1203,1,"Latin American, Mexican, Restaurants, Tex-Mex",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,1.0,u'beer_and_wine',True,u'casual',True
1347,EUe1bX5VtvlPn1YvFk3lzQ,Mangino's Bistro,1950 W Magnolia Palm Dr,32830,28.399371,-81.547904,3.5,34,1,"Restaurants, Italian",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,'beer_and_wine',True,'casual',False
1380,Lg7aBaURc2MiAhM4ZJldvQ,Westgate Lakes Resort and Spa,9500 Turkey Lake Rd,32819,28.4277525796,-81.4751889307,2.0,616,1,"Food, Hotels & Travel, Restaurants, Resorts, Barbeque, Smokehouse, Event Planning & Services, Hotels, Beauty & Spas, Vacation Rentals, Day Spas",u'free',,True,,False,3.0,'full_bar',,,False
1487,I7atR1yTJMOgSoZLXLtCWA,Golden Dynasty,2116 Whisper Lakes Blvd,32837,28.396766,-81.405382,3.0,102,0,"Pakistani, Chinese, Event Planning & Services, Restaurants, Indian, Halal, Caterers",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'none',True,u'casual',True
1506,p7TMPVrhCxG2Bi4HzZbqcQ,Churrascaria Brazilian Steakhouse,1000 Universal Studios Plz,32819,28.4772489,-81.4735662,3.5,12,0,"Restaurants, Brazilian",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,True,3.0,u'full_bar',False,u'casual',False
1513,3cLBtLFiH8IRdlEy9S8RiQ,Sofrito Latin Cafe,8607 Palm Pkwy,32836,28.3861008,-81.5041923,4.5,1609,1,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'full_bar',True,'casual',True
1598,4HiYQ84s7Mqy7iY8vp9_xA,Tortas El Rey,6151 S Orange Blossom Trl,32809,28.4673631,-81.3959895,4.5,218,1,"Latin American, Mexican, Tacos, Restaurants, Sandwiches",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
1611,0FCJQvT_yPdSXZ_xvj-SeA,McDonald's,3005 W Colonial Dr,32808,28.55331,-81.415045,2.0,14,1,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,False,1.0,u'none',True,'casual',True
1688,12CqiOV1GVOO_OknEgUJ9A,Cedar Halal Food & Grill,12100 E Colonial Dr,32826,28.56554,-81.2017467,4.5,91,1,"Mediterranean, Halal, Delis, Restaurants",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,1.0,u'none',True,u'casual',True
1723,gKKcXhKh3fid3Ep7qeT7GQ,Makis Place Lake Nona,"9680 Narcoossee Rd, Ste 102",32827,28.4260959532,-81.2534811859,4.0,28,0,"Fish & Chips, Restaurants, Japanese, Sushi Bars",u'free',,True,True,True,2.0,'beer_and_wine',True,'casual',False
1739,IpkEeLd4ZYSQAM-GlTA3cA,Neopolitan Pizza,7223 International Dr,32819,28.455434,-81.470481,4.0,71,1,"Pizza, Italian, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'beer_and_wine',True,,True
1799,HUEZLPIM64cDZnfHE1H3AA,Pizza Hut,9100 International Dr,32819,28.4327384,-81.4721426,3.5,59,1,"Chicken Wings, Italian, Restaurants, Pizza",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,'none',True,u'casual',True
1829,DdKSrl5LHtgXJ_-imoW4xg,Gatorville Poolside Bar & Grill,8001 International Dr,32819,28.4483104,-81.4684068,3.0,17,1,"Bars, Nightlife, American (New), Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,'casual',False
1838,DeqeZjU9NgybUuILO94XVQ,Mark's Jamaican Bar & Grill,10173 University Blvd,32817,28.5982108967,-81.2424430624,4.5,173,1,"Caribbean, Nightlife, Sports Bars, Beer Bar, Bars, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'beer_and_wine',True,u'casual',None
1942,i90jeBl_lLHzzuDLsxWJEA,Luke's Kitchen and Bar,640 S Orlando Ave,32751,28.6225778,-81.3636526,4.0,335,1,"Nightlife, Seafood, Bars, American (Traditional), American (New), Restaurants, Burgers",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}",True,True,True,2.0,u'full_bar',True,'casual',False
1971,RdC6xqYSLcU2850O___4YQ,Sushi Yummy,8001 S Orange Blossom Trl,32809,28.446003,-81.395645,3.0,35,1,"Restaurants, Conveyor Belt Sushi, Beer, Wine & Spirits, Sushi Bars, Food, Japanese",'no',"{'garage': None, 'street': None, 'validated': None, 'lot': False, 'valet': False}",True,True,False,1.0,,True,,True
2083,WRjqCn4OqSpvsqvpUeoKIA,Fuddruckers,12535 Apopka-Vineland Rd,32808,28.383166,-81.502486,3.5,214,1,"Burgers, American (Traditional), Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',True
2086,uN9CD8lVN6dBmfUOfEKvBA,Sideshow,15 N Orange Ave,32801,28.5424196,-81.3788244,3.5,78,1,"Nightlife, Music Venues, American (New), Beer, Wine & Spirits, Bars, Restaurants, Sports Bars, Arts & Entertainment, Food",u'free',"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,1.0,u'full_bar',True,'casual',False
2179,r6wu3WxmcIUMu4v1BhnBHQ,LaSpada's,1010 Lee Rd,32810,28.6050577604,-81.3963317871,4.0,221,1,"Burgers, American (New), Restaurants, Cheesesteaks, Sandwiches",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': None, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
2201,DJjeZa1e6t3vrUr-biIWvQ,Mr K's Chinese Cuisine & Sushi,10395 Narcoossee Rd,32832,28.4162297,-81.2423589,4.0,132,1,"Sushi Bars, Chinese, Restaurants",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',True
2215,MVqv-Wgn772O5fqvgZy83A,Galeria,4979 New Broad St,32814,28.5690652,-81.3262027,4.0,54,1,"Seafood, Restaurants, Steakhouses, American (New), Bars, Nightlife, Wine Bars",,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",True,True,True,,u'full_bar',,,
2230,SHtFiXm6Z4874JplFsJVAw,Middle East Market & Deli,8100 S Orange Blossom Trl,32809,28.4479324,-81.4024496,3.5,63,0,"Grocery, Greek, International Grocery, Middle Eastern, Delis, Food, Restaurants, Beverage Store, Mediterranean",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,1.0,u'none',True,'casual',False
2231,vC3J4WfPJRLi3JqePLcFjA,Akasaka,7786 W Sand Lake Rd,32819,28.448672,-81.48961,3.5,314,1,"Japanese, Sushi Bars, Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,'casual',True
2285,TwDFqBELCEu1B8fpIFa3nQ,Kobe Japanese Steakhouse - Lake Buena Vista,8460 Palm Pkwy,32836,28.3853707,-81.4999072,4.0,380,1,"Japanese, Steakhouses, Restaurants, Sushi Bars, Bars, Nightlife, Wine Bars",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,'casual',True
2366,-sa6gC7KSvIBVCKkzz_tpA,Marriott's Grande Pines Golf Club,6351 International Golf Club Rd,32821,28.4004902,-81.4629007,3.5,12,0,"Active Life, Restaurants, Golf, American (Traditional)",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,3.0,u'full_bar',False,'casual',False
2410,C4zr280r3ZvSpHrlNvzIyg,Pammie's Sammies,7000 Dr Phillips Blvd,32819,28.4602268,-81.4923411,4.0,59,1,"Wine Bars, Caterers, Event Planning & Services, Restaurants, Bars, Nightlife, Food, Sandwiches, Desserts, Salad",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'beer_and_wine',True,u'casual',True
2429,OTqUbo5LfSJXULw742jPJw,Olde Dixie Fried Chicken,5925 S Orange Ave,32809,28.4723866,-81.3687767,3.5,55,0,"Restaurants, American (Traditional)",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,'none',True,u'casual',False
2494,Gj18ANQXr8x9H8IVTKKX6Q,Estrella Latina,7371 Lake Underhill Rd,32822,28.5396008,-81.2862606,3.0,8,1,"Buffets, Latin American, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',False
2654,HiWtZgPBWPsbM43cSSeshw,Zoes Kitchen,"7341 W Sand Lake Rd, Ste 1081",32819,28.4503891,-81.4812757,4.0,136,1,"Mediterranean, Kebab, Middle Eastern, Restaurants, Sandwiches, Greek",u'free',"{'garage': None, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,'none',True,'casual',True
2659,U9lrX8Nviajz-74dF6zL7g,SeaWorld Orlando,7007 SeaWorld Dr,32821,28.4117475505,-81.4637947083,3.5,1082,1,"Amusement Parks, Active Life, Performing Arts, Restaurants, Buffets, Arts & Entertainment, Aquariums",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,4.0,'full_bar',False,'casual',False
2744,3GkmRnZLLbxgKpY5sS48GQ,Pearl's Chinese Restaurant,5438 Central Florida Pkwy,32821,28.4068798,-81.449521,3.5,8,1,"Chinese, Restaurants",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,,2.0,u'beer_and_wine',True,'casual',True
2748,upKSwz63uKXB7TJ3DHeEOQ,Southern Smoked Fish & Ribs,705 W Colonial Dr,32804,28.5531765,-81.3891853,4.5,18,0,"Restaurants, Barbeque",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,,True,'casual',True
2800,uquyiSrVAKTbMDIdocKUgA,Subway,7413 E Colonial Dr,32807,28.5687682,-81.2870456,4.0,6,1,"Restaurants, Fast Food, Sandwiches",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,False,1.0,,True,u'casual',True
2844,L0DY_tvx7chQerVmeIJcWQ,New China King,5709 Edgewater Dr,32810,28.60998,-81.413482,3.0,21,1,"Restaurants, Chinese",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,False,1.0,,True,u'casual',True
2932,Qydynzc1ApxsSkVNEgPs9A,Miller's Ale House - Orlando,8963 International Dr,32819,28.4348799165,-81.4716329575,3.5,535,1,"Burgers, Sports Bars, Restaurants, Nightlife, Bars, Seafood, American (Traditional), American (New)",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'full_bar',True,u'casual',True
2938,4PxNdgzNgSWLnATvRSS_DQ,Mel's Drive-In,"6000 Universal Blvd, Universal Studios Florida",32819,28.4764135472,-81.46782325,2.5,134,1,"Active Life, Diners, Amusement Parks, Restaurants",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,u'none',True,u'casual',False
3024,LrE5Rqg4pBRwgDfk3toOAw,Numero Uno Restaurant,2499 S Orange Ave,32806,28.514151,-81.3760513,3.5,143,1,"Cuban, Restaurants",u'paid',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'beer_and_wine',True,u'casual',True
3049,oxIkw2xgu9MkhzKntav0cQ,Venezuelan Burger,6316 International Dr,32819,28.461401,-81.467493,4.0,91,0,"Restaurants, Latin American, Food, Venezuelan, Food Trucks, Burgers",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,False,2.0,u'none',True,'casual',True
3156,n3i_LN8bkjCUlCrX9oMeaA,Tropical Sensations,4973 International Dr,32819,28.476315,-81.450043,3.0,5,1,"Restaurants, Food Court, Sandwiches",,,True,False,True,1.0,,False,'casual',False
3168,WSbWWJxjyCK62H51yxNn0w,Fork In The Road,,,28.5383355,-81.3792365,3.5,20,0,"Food Trucks, Restaurants, Street Vendors, Sandwiches, Food, Burgers",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,,2.0,,,,
3172,NA7X-SiCZVO2INYdz2XX8Q,Sinha Brazilian Steak House,13586 Village Park Dr,32837,28.3683674,-81.4270686,4.0,176,0,"Brazilian, Steakhouses, Restaurants",u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2.0,u'beer_and_wine',True,u'casual',True
3235,MPgXswKyNopTNNhzOf5Gng,Wingstop,"2911 E Colonial Drive, Ste 3",32803,28.5535588,-81.3471304,3.0,33,1,"Chicken Wings, Restaurants",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,True,1.0,,True,,True
3256,cyMSilW0b5ZrbWeqSgTMCA,Bife De Chorizo,"1700 W Sand Lake Rd, Ste D106",32809,28.4494073499,-81.4017132525,4.5,6,0,"Sandwiches, Restaurants, Argentine, Latin American",u'no',,True,False,False,2.0,u'beer_and_wine',True,,True
3274,1DqH1jYITwUvlVut_YBApg,Chipotle Mexican Grill,2850 S Kirkman Rd,32811,28.5120753,-81.459758,3.0,81,1,"Fast Food, Mexican, Restaurants, Vegan",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': None, 'valet': False}",True,False,True,1.0,'beer_and_wine',True,'casual',True
3292,Co5fyfHUzACP9lOTWEArjA,Big Brunos Bites,745 Bennett Rd,32803,28.5553661,-81.3333139,4.5,19,0,"Food Stands, Restaurants",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',False
3298,I9gNfcHOlkwUnd5Q00TbuA,Dairy Queen Grill & Chill,14532 E Colonial Dr,32826,28.5647449242,-81.1677485704,3.0,21,1,"Fast Food, Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,,True,'casual',True
3331,9CUdYtLyfpYeF5S3HbgysA,Abhiruchi Indian Cuisine,6215 S Orange Blossom Trl,32809,28.4668047,-81.3962804,3.0,24,0,"Food, Indian, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'beer_and_wine',True,u'casual',True
3339,pHNvRjxSntENdQ3o2yq_VA,Frutta Bowls,13526 Village Park Dr,32837,28.3693278694,-81.4269048995,4.0,60,1,"Juice Bars & Smoothies, Acai Bowls, Food, Restaurants, Breakfast & Brunch",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': None, 'valet': False}",True,False,,1.0,u'none',True,,True
3368,nafswvhlSOsdja_vuzpRpQ,Verde Cantina,8 N Summerlin Ave,32801,28.5428276,-81.3686467,3.0,73,0,"Burgers, Mexican, Restaurants, Cocktail Bars, Bars, Nightlife",'free',"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2.0,u'full_bar',True,'casual',False
3404,72lsAGEma0YI8t-OCdHxCQ,Uno Pizzeria & Grill,8250 International Dr,32819,28.4464749,-81.4716242,3.5,399,1,"Beer, Wine & Spirits, American (Traditional), Pizza, Food, American (New), Gluten-Free, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,u'casual',True
3434,lMW4Uhl6SeAWTFza5mb5xg,Boston Market,250 E Michigan St,32806,28.5125480059,-81.3747064769,3.0,19,1,"Restaurants, Caterers, Event Planning & Services, Comfort Food, American (Traditional), Chicken Shop, Sandwiches",'free',None,True,False,True,1.0,u'none',True,u'casual',True
3446,neYslCKmOIZMfrY0aqs-lg,La China,6473 S Chickasaw Trl,32829,28.470781,-81.266671,3.5,38,1,"Chinese, Restaurants",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,'none',True,'casual',True
3561,iHmBoyZEWsJfryywZmrB8A,Ichiban Buffet,5529 International Dr,32819,28.4633932073,-81.4548304993,3.0,419,1,"Chinese, Restaurants, Japanese, Szechuan, Seafood, Buffets",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',False
3581,96RSYhKtJXU70XmKuhtHeQ,LA Boiling Seafood Crab & Crawfish,1242 E Colonial Dr,32803,28.5529358752,-81.3629580189,4.0,354,1,"Restaurants, Cajun/Creole, Sandwiches, Seafood",u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',True
