,business_id,name,categories,address,postal_code,latitude,longitude,stars,review_count,is_open,price_range,Latin America,North American,Ottoman Cuisine,Quick and Greasy,European,Asian,Cafes & Desserts,Other,checkin_sum,fisrt_record,last_record,total_days
10,xqxRL30UDtEP3v1E_x-SlA,Froggers Grill & Bar Southwest,"Restaurants, American (Traditional)",6700 Conroy Windermere Rd,32835.0,28.4930274,-81.4735774,3.5,7,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2010-10-26 02:54:57,2012-01-16 23:42:00,447.86600694444445
11,ynM2sHgvOG4DBJNDf1GKUQ,Publix Super Markets,"Drugstores, Delis, Restaurants, Shopping, Grocery, Food",3400 Avalon Park East Blvd,32828.0,28.5142749,-81.1543345,3.5,35,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,821,2010-03-29 16:58:56,2021-01-26 15:49:00,3955.9514351851853
12,DtOUYfEGFJ8y7YC5VnM9UA,The Clubhouse,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife",100 E Pine St,32801.0,28.5412869,-81.3768161,4.0,7,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2010-04-18 04:02:23,2011-04-01 22:42:26,348.7778125
13,zQRbAOceJyC7xVBBRny2HQ,Bites & Bubbles,"Wine Bars, Restaurants, Bars, Nightlife, Specialty Food, Desserts, Food, Tapas Bars",912 N Mills Ave,32803.0,28.5572082,-81.36474,4.5,105,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80,2018-05-25 23:20:40,2020-11-18 03:21:27,907.1672106481482
14,Wo7xNKWlq3i5q20VkBb6IQ,Mejana Mediterranean,"Restaurants, Mediterranean","12001 Avalon Lake Dr, Ste A",32828.0,28.5105029935,-81.1561918371,4.5,69,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,2018-11-12 17:44:38,2020-12-15 20:14:10,764.1038425925926
15,rIdojqgqK1IcxYAyJhsLLg,Muse 24h Caffee,"Restaurants, Cafes",14100 Bonnet Creek Resort Ln,32821.0,28.355841,-81.534603,4.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,2019-02-03 20:40:15,2020-11-23 14:46:00,658.7539930555556
16,ha4EZP8LSROUcrZhQWeXQQ,Aroma Italian Café & Wine Bar,"Coffee & Tea, Food, Bars, Nightlife, Italian, Arts & Entertainment, Restaurants, Music Venues, Wine Bars",712 E Washington St,32801.0,28.543402,-81.367959,4.0,25,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,47,2010-04-30 22:56:47,2012-08-18 02:10:54,840.1348032407408
17,ob2Bplta28zhLbLPoaSL3Q,Ponderosa Steakhouse,"Buffets, Restaurants, American (New), Steakhouses",8510 International Dr,32819.0,28.4414897,-81.4712016,3.0,38,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55,2010-03-18 21:58:56,2016-10-23 15:20:01,2410.722974537037
18,LMBo7Dv-5jSTrUgiDkjE9Q,Crispers,"Restaurants, Salad, Sandwiches, Soup",557 N Alafaya Trail,32828.0,28.5553662396,-81.2026464148,4.0,86,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,462,2010-02-14 22:14:50,2019-03-03 23:49:50,3304.065972222222
19,SrykgwUBIaqNwqvu7JKMqQ,House of Pizza,"Pizza, Italian, Salad, Restaurants","14650 Gatorland Dr, Ste 1",32837.0,28.3533325,-81.4051029,3.5,47,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,77,2010-08-04 21:53:04,2019-03-17 22:00:32,3147.0051851851854
20,SALa3MhzFBKVGkzphbYrqQ,Sharon's Place,"Restaurants, Breakfast & Brunch, Sandwiches, American (Traditional), Diners",4905 S Orange Ave,32806.0,28.4912556,-81.3731596,4.0,16,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,45,2010-09-27 14:00:07,2014-02-14 13:01:35,1235.9593518518518
21,3JrdnGYWUzUzepplmi7HlA,Sweet Mama's Restaurant,"American (New), Diners, American (Traditional), Breakfast & Brunch, Restaurants, Comfort Food, Desserts, Food, Burgers","10743 Narcoossee Rd, Ste A3",32832.0,28.411547,-81.240481,4.0,341,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,700,2010-01-25 15:34:48,2021-01-24 16:51:56,4017.0535648148148
22,Mw9Locfp_Qc_T_QDyLR3cQ,Roque Pub,"Restaurants, American (New), Sandwiches, Bars, Food, Nightlife, Event Planning & Services, Beer, Wine & Spirits, Venues & Event Spaces, Pubs",3076 Curry Ford Rd,32806.0,28.5234748,-81.3440402,4.5,143,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,824,2013-02-23 03:26:04,2021-01-03 00:17:34,2870.869097222222
23,d3uHwiajWXVApH65sGKRiw,Chinatown,"Chinese, Restaurants",4200 Conroy Rd,32839.0,28.485254,-81.432187,2.5,14,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18,2012-03-25 17:26:00,2019-03-22 23:24:48,2553.2491666666665
24,DM_Ge3Feh-4xnIrHIDg4uw,The Bistro Restaurant and Bar,"Food, American (New), Internet Cafes, Bars, Restaurants, Nightlife, Breakfast & Brunch, Coffee & Tea, Cocktail Bars",730 N Magnolia Ave,32803.0,28.5542126431,-81.3775464778,4.5,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5,2017-02-16 04:03:39,2018-09-20 18:41:27,581.6095833333334
25,08xNWFnK7VoMjjQSEqd2Qw,Ming Dragon Express,"Japanese, Sushi Bars, Chinese, Restaurants",6139 Westwood Blvd,32821.0,28.420153,-81.461639,4.0,66,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,2018-06-11 23:26:41,2020-03-05 22:06:25,632.9442592592593
26,7rn7i2hdfiGX1lWobZJXBQ,Red Lobster,"Seafood, Restaurants, American (Traditional)",12557 State Road 535,32836.0,28.381024,-81.502994,3.5,95,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,241,2010-10-23 22:46:59,2020-09-27 23:35:20,3627.033576388889
27,3SUhbtzb49gJX9jvitGSFQ,Starring Rolls Cafe,"Sandwiches, Cafes, Restaurants","351 S Studio Dr, 351 S Studio Dr",32830.0,28.3577687922,-81.5600863022,3.5,47,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,188,2011-07-01 22:26:25,2017-08-02 17:27:05,2223.7921296296295
28,mLSsh3ufAvCsZjY9KoAbdQ,Maddey's Craft & Cru,"Restaurants, American (New), Pizza",116 W Church St,32801.0,28.5400531637,-81.3811068982,4.5,19,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32,2016-06-10 15:22:05,2016-07-30 23:57:30,50.35792824074074
29,1eyv_Nm2KHOmGGb7je21Ug,Fuzzy's Taco Shop,"Sandwiches, Restaurants, Tex-Mex, Breakfast & Brunch, Mexican",12241 East Colonial Dr,32826.0,28.5665610177,-81.1952380621,3.5,170,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,269,2016-09-20 00:09:40,2021-01-22 19:47:54,1585.8182175925926
30,QdzRS1s0tSltIokm2xV-kA,Border Grill Fresh-Mex,"Latin American, Mexican, Restaurants, Tex-Mex",5695-A Vineland Rd,32819.0,28.483564,-81.456769,4.5,1203,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2453,2010-10-12 21:29:50,2021-01-24 01:02:21,3756.1475810185184
31,EUe1bX5VtvlPn1YvFk3lzQ,Mangino's Bistro,"Restaurants, Italian",1950 W Magnolia Palm Dr,32830.0,28.399371,-81.547904,3.5,34,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44,2012-10-04 17:26:07,2020-12-02 12:32:10,2980.7958680555557
32,Lg7aBaURc2MiAhM4ZJldvQ,Westgate Lakes Resort and Spa,"Food, Hotels & Travel, Restaurants, Resorts, Barbeque, Smokehouse, Event Planning & Services, Hotels, Beauty & Spas, Vacation Rentals, Day Spas",9500 Turkey Lake Rd,32819.0,28.4277525796,-81.4751889307,2.0,616,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,504,2011-08-23 16:24:38,2021-01-20 06:19:42,3437.5799074074075
33,I7atR1yTJMOgSoZLXLtCWA,Golden Dynasty,"Pakistani, Chinese, Event Planning & Services, Restaurants, Indian, Halal, Caterers",2116 Whisper Lakes Blvd,32837.0,28.396766,-81.405382,3.0,102,0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68,2010-11-06 23:02:29,2020-02-15 01:13:19,3387.0908564814813
34,p7TMPVrhCxG2Bi4HzZbqcQ,Churrascaria Brazilian Steakhouse,"Restaurants, Brazilian",1000 Universal Studios Plz,32819.0,28.4772489,-81.4735662,3.5,12,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2011-11-20 00:47:54,2013-10-21 00:36:14,700.9918981481482
35,3cLBtLFiH8IRdlEy9S8RiQ,Sofrito Latin Cafe,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",8607 Palm Pkwy,32836.0,28.3861008,-81.5041923,4.5,1609,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3858,2015-05-29 22:33:20,2021-01-27 00:11:16,2069.0680092592593
36,4HiYQ84s7Mqy7iY8vp9_xA,Tortas El Rey,"Latin American, Mexican, Tacos, Restaurants, Sandwiches",6151 S Orange Blossom Trl,32809.0,28.4673631,-81.3959895,4.5,218,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,356,2011-05-04 22:21:11,2021-01-16 02:47:09,3544.184699074074
37,0FCJQvT_yPdSXZ_xvj-SeA,McDonald's,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",3005 W Colonial Dr,32808.0,28.55331,-81.415045,2.0,14,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71,2010-11-10 17:10:27,2020-12-03 21:25:01,3676.1767824074072
38,12CqiOV1GVOO_OknEgUJ9A,Cedar Halal Food & Grill,"Mediterranean, Halal, Delis, Restaurants",12100 E Colonial Dr,32826.0,28.56554,-81.2017467,4.5,91,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,201,2010-08-30 15:07:36,2020-09-15 20:20:25,3669.217233796296
39,gKKcXhKh3fid3Ep7qeT7GQ,Makis Place Lake Nona,"Fish & Chips, Restaurants, Japanese, Sushi Bars","9680 Narcoossee Rd, Ste 102",32827.0,28.4260959532,-81.2534811859,4.0,28,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,50,2016-04-09 18:04:46,2016-12-08 17:57:39,242.99505787037037
40,IpkEeLd4ZYSQAM-GlTA3cA,Neopolitan Pizza,"Pizza, Italian, Restaurants",7223 International Dr,32819.0,28.455434,-81.470481,4.0,71,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,2017-12-05 18:52:41,2020-02-23 06:02:00,809.4648032407407
41,HUEZLPIM64cDZnfHE1H3AA,Pizza Hut,"Chicken Wings, Italian, Restaurants, Pizza",9100 International Dr,32819.0,28.4327384,-81.4721426,3.5,59,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,55,2011-03-23 02:12:02,2020-02-09 18:05:53,3245.6623958333334
42,DdKSrl5LHtgXJ_-imoW4xg,Gatorville Poolside Bar & Grill,"Bars, Nightlife, American (New), Restaurants",8001 International Dr,32819.0,28.4483104,-81.4684068,3.0,17,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2012-03-25 19:43:29,2019-11-21 00:00:10,2796.178252314815
43,DeqeZjU9NgybUuILO94XVQ,Mark's Jamaican Bar & Grill,"Caribbean, Nightlife, Sports Bars, Beer Bar, Bars, Restaurants",10173 University Blvd,32817.0,28.5982108967,-81.2424430624,4.5,173,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,2016-02-06 23:51:14,2021-01-07 19:11:03,1796.8054282407406
44,i90jeBl_lLHzzuDLsxWJEA,Luke's Kitchen and Bar,"Nightlife, Seafood, Bars, American (Traditional), American (New), Restaurants, Burgers",640 S Orlando Ave,32751.0,28.6225778,-81.3636526,4.0,335,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,382,2017-01-09 23:45:31,2021-01-22 23:17:42,1473.9806828703704
45,RdC6xqYSLcU2850O___4YQ,Sushi Yummy,"Restaurants, Conveyor Belt Sushi, Beer, Wine & Spirits, Sushi Bars, Food, Japanese",8001 S Orange Blossom Trl,32809.0,28.446003,-81.395645,3.0,35,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,2018-05-06 21:21:33,2020-01-20 16:48:53,623.8106481481482
46,WRjqCn4OqSpvsqvpUeoKIA,Fuddruckers,"Burgers, American (Traditional), Restaurants",12535 Apopka-Vineland Rd,32808.0,28.383166,-81.502486,3.5,214,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,565,2010-03-06 20:22:46,2021-01-10 01:04:13,3962.195451388889
47,uN9CD8lVN6dBmfUOfEKvBA,Sideshow,"Nightlife, Music Venues, American (New), Beer, Wine & Spirits, Bars, Restaurants, Sports Bars, Arts & Entertainment, Food",15 N Orange Ave,32801.0,28.5424196,-81.3788244,3.5,78,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,277,2014-09-12 17:42:28,2020-03-05 00:16:33,2000.2736689814815
48,r6wu3WxmcIUMu4v1BhnBHQ,LaSpada's,"Burgers, American (New), Restaurants, Cheesesteaks, Sandwiches",1010 Lee Rd,32810.0,28.6050577604,-81.3963317871,4.0,221,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,495,2010-07-30 16:37:41,2020-12-29 19:40:46,3805.1271412037036
49,DJjeZa1e6t3vrUr-biIWvQ,Mr K's Chinese Cuisine & Sushi,"Sushi Bars, Chinese, Restaurants",10395 Narcoossee Rd,32832.0,28.4162297,-81.2423589,4.0,132,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,321,2010-02-20 00:34:04,2021-01-01 23:41:08,3968.9632407407407
50,MVqv-Wgn772O5fqvgZy83A,Galeria,"Seafood, Restaurants, Steakhouses, American (New), Bars, Nightlife, Wine Bars",4979 New Broad St,32814.0,28.5690652,-81.3262027,4.0,54,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2019-09-29 23:59:02,2021-01-14 23:35:55,472.98394675925925
51,SHtFiXm6Z4874JplFsJVAw,Middle East Market & Deli,"Grocery, Greek, International Grocery, Middle Eastern, Delis, Food, Restaurants, Beverage Store, Mediterranean",8100 S Orange Blossom Trl,32809.0,28.4479324,-81.4024496,3.5,63,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,133,2010-09-12 19:00:34,2018-03-12 14:52:24,2737.827662037037
52,vC3J4WfPJRLi3JqePLcFjA,Akasaka,"Japanese, Sushi Bars, Restaurants",7786 W Sand Lake Rd,32819.0,28.448672,-81.48961,3.5,314,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,674,2010-02-13 00:37:33,2020-09-02 00:48:58,3854.007928240741
53,TwDFqBELCEu1B8fpIFa3nQ,Kobe Japanese Steakhouse - Lake Buena Vista,"Japanese, Steakhouses, Restaurants, Sushi Bars, Bars, Nightlife, Wine Bars",8460 Palm Pkwy,32836.0,28.3853707,-81.4999072,4.0,380,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,756,2010-03-31 00:19:23,2021-01-18 22:27:33,3946.922337962963
54,-sa6gC7KSvIBVCKkzz_tpA,Marriott's Grande Pines Golf Club,"Active Life, Restaurants, Golf, American (Traditional)",6351 International Golf Club Rd,32821.0,28.4004902,-81.4629007,3.5,12,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52,2010-09-26 15:49:05,2015-10-22 17:26:47,1852.0678472222223
55,C4zr280r3ZvSpHrlNvzIyg,Pammie's Sammies,"Wine Bars, Caterers, Event Planning & Services, Restaurants, Bars, Nightlife, Food, Sandwiches, Desserts, Salad",7000 Dr Phillips Blvd,32819.0,28.4602268,-81.4923411,4.0,59,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,125,2011-11-29 22:34:35,2020-02-10 14:45:54,2994.674525462963
56,OTqUbo5LfSJXULw742jPJw,Olde Dixie Fried Chicken,"Restaurants, American (Traditional)",5925 S Orange Ave,32809.0,28.4723866,-81.3687767,3.5,55,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98,2010-03-14 23:33:37,2016-05-29 17:23:29,2267.742962962963
57,Gj18ANQXr8x9H8IVTKKX6Q,Estrella Latina,"Buffets, Latin American, Restaurants",7371 Lake Underhill Rd,32822.0,28.5396008,-81.2862606,3.0,8,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2011-07-01 20:23:58,2017-08-24 18:25:15,2245.9175578703703
58,HiWtZgPBWPsbM43cSSeshw,Zoes Kitchen,"Mediterranean, Kebab, Middle Eastern, Restaurants, Sandwiches, Greek","7341 W Sand Lake Rd, Ste 1081",32819.0,28.4503891,-81.4812757,4.0,136,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,280,2016-04-21 15:26:05,2021-01-16 21:47:52,1731.265127314815
59,U9lrX8Nviajz-74dF6zL7g,SeaWorld Orlando,"Amusement Parks, Active Life, Performing Arts, Restaurants, Buffets, Arts & Entertainment, Aquariums",7007 SeaWorld Dr,32821.0,28.4117475505,-81.4637947083,3.5,1082,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4265,2010-01-30 18:17:45,2021-01-24 17:37:55,4011.972337962963
60,3GkmRnZLLbxgKpY5sS48GQ,Pearl's Chinese Restaurant,"Chinese, Restaurants",5438 Central Florida Pkwy,32821.0,28.4068798,-81.449521,3.5,8,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,2011-04-04 22:30:44,2019-12-08 17:47:04,3169.8030092592594
61,upKSwz63uKXB7TJ3DHeEOQ,Southern Smoked Fish & Ribs,"Restaurants, Barbeque",705 W Colonial Dr,32804.0,28.5531765,-81.3891853,4.5,18,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,2015-03-20 20:53:58,2015-12-04 17:32:49,258.8603125
62,uquyiSrVAKTbMDIdocKUgA,Subway,"Restaurants, Fast Food, Sandwiches",7413 E Colonial Dr,32807.0,28.5687682,-81.2870456,4.0,6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23,2010-08-30 23:10:13,2020-07-12 04:30:57,3603.2227314814813
63,L0DY_tvx7chQerVmeIJcWQ,New China King,"Restaurants, Chinese",5709 Edgewater Dr,32810.0,28.60998,-81.413482,3.0,21,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19,2011-09-21 01:25:21,2020-08-15 15:33:19,3251.588865740741
64,Qydynzc1ApxsSkVNEgPs9A,Miller's Ale House - Orlando,"Burgers, Sports Bars, Restaurants, Nightlife, Bars, Seafood, American (Traditional), American (New)",8963 International Dr,32819.0,28.4348799165,-81.4716329575,3.5,535,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1626,2010-01-26 17:22:30,2021-01-27 23:26:18,4019.2526388888887
65,4PxNdgzNgSWLnATvRSS_DQ,Mel's Drive-In,"Active Life, Diners, Amusement Parks, Restaurants","6000 Universal Blvd, Universal Studios Florida",32819.0,28.4764135472,-81.46782325,2.5,134,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,272,2010-08-22 20:57:42,2021-01-05 22:05:15,3789.046909722222
66,LrE5Rqg4pBRwgDfk3toOAw,Numero Uno Restaurant,"Cuban, Restaurants",2499 S Orange Ave,32806.0,28.514151,-81.3760513,3.5,143,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,2010-01-23 23:57:12,2020-12-23 23:07:03,3986.965173611111
67,oxIkw2xgu9MkhzKntav0cQ,Venezuelan Burger,"Restaurants, Latin American, Food, Venezuelan, Food Trucks, Burgers",6316 International Dr,32819.0,28.461401,-81.467493,4.0,91,0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59,2016-12-06 03:38:51,2020-02-18 03:53:46,1169.0103587962963
68,n3i_LN8bkjCUlCrX9oMeaA,Tropical Sensations,"Restaurants, Food Court, Sandwiches",4973 International Dr,32819.0,28.476315,-81.450043,3.0,5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,2014-10-20 19:26:37,2017-10-29 22:39:52,1105.1342013888889
69,WSbWWJxjyCK62H51yxNn0w,Fork In The Road,"Food Trucks, Restaurants, Street Vendors, Sandwiches, Food, Burgers",0,0.0,28.5383355,-81.3792365,3.5,20,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22,2011-12-19 00:42:40,2015-03-29 15:49:31,1196.6297569444444
70,NA7X-SiCZVO2INYdz2XX8Q,Sinha Brazilian Steak House,"Brazilian, Steakhouses, Restaurants",13586 Village Park Dr,32837.0,28.3683674,-81.4270686,4.0,176,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,139,2015-12-07 22:54:19,2019-06-06 23:42:00,1277.0331134259259
71,MPgXswKyNopTNNhzOf5Gng,Wingstop,"Chicken Wings, Restaurants","2911 E Colonial Drive, Ste 3",32803.0,28.5535588,-81.3471304,3.0,33,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26,2018-08-27 20:17:14,2020-12-27 02:18:10,852.2506481481481
72,cyMSilW0b5ZrbWeqSgTMCA,Bife De Chorizo,"Sandwiches, Restaurants, Argentine, Latin American","1700 W Sand Lake Rd, Ste D106",32809.0,28.4494073499,-81.4017132525,4.5,6,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,2013-12-27 01:11:04,2014-02-26 00:24:24,60.967592592592595
73,1DqH1jYITwUvlVut_YBApg,Chipotle Mexican Grill,"Fast Food, Mexican, Restaurants, Vegan",2850 S Kirkman Rd,32811.0,28.5120753,-81.459758,3.0,81,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,526,2010-01-19 14:15:53,2020-10-07 18:33:18,3914.178761574074
74,Co5fyfHUzACP9lOTWEArjA,Big Brunos Bites,"Food Stands, Restaurants",745 Bennett Rd,32803.0,28.5553661,-81.3333139,4.5,19,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62,2011-04-24 01:14:15,2013-10-04 22:07:50,894.8705439814814
75,I9gNfcHOlkwUnd5Q00TbuA,Dairy Queen Grill & Chill,"Fast Food, Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt",14532 E Colonial Dr,32826.0,28.5647449242,-81.1677485704,3.0,21,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52,2015-11-20 21:19:27,2020-09-13 23:53:59,1759.1073148148148
76,9CUdYtLyfpYeF5S3HbgysA,Abhiruchi Indian Cuisine,"Food, Indian, Restaurants",6215 S Orange Blossom Trl,32809.0,28.4668047,-81.3962804,3.0,24,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,2012-06-29 22:50:04,2015-04-11 17:22:26,1015.7724768518518
